id,tag,date,ocid,initiationType,language,buyer_id,buyer_name,tender_id,tender_title,tender_mainProcurementCategory,tender_status,tender_category,tender_province,tender_additionalProcurementCategories,tender_procurementMethodDetails,tender_description,tender_specialConditions,tender_procurementMethod,tender_deliveryLocation,tender_value_amount,tender_value_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_contactPerson_name,tender_contactPerson_email,tender_contactPerson_telephoneNumber,tender_briefingSession_date,tender_briefingSession_venue,tender_briefingSession_isSession,tender_briefingSession_compulsory,tender_procuringEntity_id,tender_procuringEntity_name,planning_rationale,planning_budget_description,tender_contactPerson_faxNumber
ocds-9t57fa-151085-2020-09-05T00:00:00Z,compiled,2020-09-05T00:00:00Z,ocds-9t57fa-151085,tender,en-za,167,ESKOM,151085,Regret Letter - E1026GXMPKEN,works,complete,"Electricity, gas, steam and air conditioning",Mpumalanga,works,Request for Bid(Open-Tender),"Regret letter - Manufacturing, Supply delivery of Apron Wheels at Kendal Power Station on an “as and when” required basis for the period of five (5) years. 

We wish to thank you for submitting your response to the above-mentioned Enquiry No. E1026GXMPKEN. The matter has now been adjudicated and we regret to inform you that you have not been successful in this instance.

The successful supplier is: Thwaites Engineering
Eskom appreciates the effort that your company has put into this process and we trust that you will continue with these efforts in the future.",Regret Letter notifying unsuccessful bidders,open,"Kendal Power Station (Near Ogies,on Jhb/Witbank Road) - Ogies - Emalahleni - 2230",0,ZAR,2026-03-17T11:00:00Z,2020-09-05T00:00:00Z,Caxwell Mkhabele,Mkhabec@eskom.co.za,013-647-6541,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
ocds-9t57fa-100640-2020-07-16T00:00:00Z,compiled,2020-07-16T00:00:00Z,ocds-9t57fa-100640,tender,en-za,306,Kwazulu Natal - Department of Agriculture and Rural Develeopment,100640,DARD14/20A,services,active,Services: Functional (Including Cleaning and Security Services),KwaZulu-Natal,services,Request for Bid(Open-Tender),"Decommissioning of existing system, supply installation and operation and maintanance of cctv cameras and access control",N/A,open,1 CEDARA ROAD - CEDARA - PIETERMARITZBURG - 3200,0,ZAR,2020-08-06T11:00:00Z,2020-07-16T00:00:00Z,Mbuyiselwa Chonco,nompumelelo.dladla@kzndard.gov.za,033-343-8188,0001-01-01T00:00:00Z,Cedara Auditorium at 10:00am,true,true,306,Kwazulu Natal - Department of Agriculture and Rural Develeopment,, - ,
ocds-9t57fa-130440-2020-12-01T00:00:00Z,compiled,2020-12-01T00:00:00Z,ocds-9t57fa-130440,tender,en-za,531,Overstrand Municipality,130440,SC2214A/2021,services,active,Services: General,Western Cape,services,Transversal contract,TRANSVERSAL TERM CONTRACT RT46-2020: APPOINTMENT OF CONTRACTORS FOR THE PROVISION OF VEHICLE FLEET MANAGEMENT SERVICES TO THE STATE FOR A PERIOD OF FIVE YEARS - 1 APRIL 2021 TO 31 MARCH 2026,N/A,open,1 Magnolia Avenue - Hermanus - Hermanus - 7200,0,ZAR,2021-01-01T11:00:00Z,2020-12-01T00:00:00Z,Liezel S du Preez,ldupreez@overstrand.gov.za,028-313-8000,0001-01-01T00:00:00Z,N/A,false,false,531,Overstrand Municipality,, - ,
ocds-9t57fa-1789-2020-11-20T00:00:00Z,compiled,2020-11-20T00:00:00Z,ocds-9t57fa-1789,tender,en-za,547,Private Security Industry Regulatory Authority,1789,PSiRA/2020/RFB/15,services,active,Services: General,National,services,Request for Information,PROVISION OF ASSET IN TRANSIT SERVICES FOR A PERIOD OF 36 MONTHS,N/A,open, -  -  - ,0,ZAR,2021-01-20T00:00:00Z,2020-11-20T00:00:00Z,Tsakani Maluleke,bids@psira.co.za,012 003 0686,0001-01-01T00:00:00Z,N/A,false,false,547,Private Security Industry Regulatory Authority,, - ,
ocds-9t57fa-2092-2020-12-02T00:00:00Z,compiled,2020-12-02T00:00:00Z,ocds-9t57fa-2092,tender,en-za,382,Market Theatre Foundation,2092,MTF 02/11/2020,services,active,Services: General,National,services,Request for Quotation,Appointment of a service provider for provision of Professional Architectural services for Barney Simon Theatre refurbishment   MTF 02/11/2020,N/A,open, -  -  - ,0,ZAR,2021-01-22T00:00:00Z,2020-12-02T00:00:00Z,Busisiwe Hlongwani,Busisiweh@markettheatre.co.za,011 832 1641,0001-01-01T00:00:00Z,N/A,false,false,382,Market Theatre Foundation,, - ,
ocds-9t57fa-272-2020-02-04T00:00:00Z,compiled,2020-02-04T00:00:00Z,ocds-9t57fa-272,tender,en-za,167,ESKOM,272,PSCED0262,services,active,Services: General,National,services,Request for Information,"Design, Manufacture, Supply, Delivery, Installation, Commissioning and Testing of Apollo Substation two 275kV 150MVAr Shunt Capacitor Banks",N/A,open, -  -  - ,0,ZAR,2020-03-09T00:00:00Z,2020-02-04T00:00:00Z,Yvonia Moretsele,Moretssy@eskom.co.za,011 800 4850,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
ocds-9t57fa-31298-2020-02-14T00:00:00Z,compiled,2020-02-14T00:00:00Z,ocds-9t57fa-31298,tender,en-za,281,Justice & Constitutional Development,31298,RFB 2019 12,services,active,Information and communication,National,services,Request for Proposal,"Appointment of a Service Provider for the Supply , delivery and installation of the 283 PABX systems inclusive of 5 year warranty and three (3) year maintenance and support",None,open,329 Pretorius Street Momentum Building  - Pretoria Central  - Pretoria - 0001,0,ZAR,2021-04-01T11:00:00Z,2020-02-14T00:00:00Z,Supply Chain Management,SCM@Justice.gov.za,012-315-1187,2021-04-01T11:00:00Z,Doj&cd Momentum Building ,true,true,281,Justice & Constitutional Development,, - ,
ocds-9t57fa-44329-2020-10-09T00:00:00Z,compiled,2020-10-09T00:00:00Z,ocds-9t57fa-44329,tender,en-za,609,South African Human Rights Commission,44329,SAHRC 04-2020,services,active,Rental and leasing activities,National,services,Request for Bid(Open-Tender),The invitation to bid is intended to obtain leased office premises for the South African Human Rights Commission’s (Commission) Head Office and Gauteng Province as well as the Information Regulator (Regulator) South Africa office in the city of Johannesburg,N/A,open,27 Stiemens street - Braamfontein - Johannesburg - 2017,0,ZAR,2021-04-01T11:00:00Z,2020-10-09T00:00:00Z,Tender office,tenderoffice@sahrc.org.za,011-877-3600,0001-01-01T00:00:00Z,N/A,false,false,609,South African Human Rights Commission,, - ,
ocds-9t57fa-45252-2020-08-28T00:00:00Z,compiled,2020-08-28T00:00:00Z,ocds-9t57fa-45252,tender,en-za,618,South African National Roads Agency Soc Limited (SANRAL),45252,SANRAL N.011-020-2015/1 a,works,active,Construction,KwaZulu-Natal,works,Request for Bid(Open-Tender),"
FOR UPGRADING OF NATIONAL ROUTE 11 SECTION 2 FROM LADYSMITH SOUTH (km 0.00) TO ELANDSLAAGTE (km 28.00)
","The tender was advertised on 28 August 2020, closed on 30 October 2020 and awarded on 24 January 2023",open,58 Van Eck Place - Mkondeni - Pietermaritzburg - 3204,0,ZAR,2023-01-24T11:00:00Z,2020-08-28T00:00:00Z,Procurement Eastern Region,procurementER4@sanral.co.za,033-392-8100,0001-01-01T00:00:00Z,N/A,false,false,618,South African National Roads Agency Soc Limited (SANRAL),, - ,033-392-8100
ocds-9t57fa-141115-2020-11-13T00:00:00Z,compiled,2020-11-13T00:00:00Z,ocds-9t57fa-141115,tender,en-za,136,Eastern Cape - Roads and Public Works,141115,SCMU5-20/21-0166 ,works,active,Specialised construction activities,Eastern Cape,works,Request for Bid(Open-Tender),PROVISION OF PROFESSIONAL SERVICES FOR THE MAINTENANCE OF ELECTRICAL EQUIPMENT IN THE AMATOLE AND BUFFALO CITY METROPOLITAN REGION HEALTH FACILTIES ,N/A,open,bcm - amathole - amathole - ,0,ZAR,2020-12-10T11:00:00Z,2020-11-13T00:00:00Z,Mr B. Ndleleni,bandile.ndleleni@ecdpw.gov.za,040-602-4041,0001-01-01T00:00:00Z,N/A,false,false,136,Eastern Cape - Roads and Public Works,, - ,
ocds-9t57fa-148777-2020-08-16T00:00:00Z,compiled,2020-08-16T00:00:00Z,ocds-9t57fa-148777,tender,en-za,167,ESKOM,148777,E1707NTCSAMWP AWARD,services,complete,Services: Electrical,Gauteng,services,Request for Proposal,"Award for North Grid Aircons Replacement Project - Replace, supply, installation and commissioning of air conditioners at (North-West Province 113 air conditioners) to Shonisani Rambau Construction/ Shonisani Beverly Construction JV","Award for North Grid Aircons Replacement Project - Replace, supply, installation and commissioning of air conditioners at (North-West Province 113 air conditioners) to Shonisani Rambau Construction/ Shonisani Beverly Construction JV",open,"Maxwell Dr, Sunninghill, Eskom Megawatt Park, Gauteng, 2157  - Gauteng - Gauteng - 2157",0,ZAR,2026-03-02T10:00:00Z,2020-08-16T00:00:00Z,SAMUEL SEKESE,sekeses@ntcsa.co.za,014-763-8256,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,014-763-8256
ocds-9t57fa-151325-2020-11-13T00:00:00Z,compiled,2020-11-13T00:00:00Z,ocds-9t57fa-151325,tender,en-za,244,Home Affairs,151325,DHA19-2020,,active,Services: Professional,National,consultingServices,Request for Bid(Open-Tender),"Appointment of a service provider for supply, installation, configuration, migration, support and maintenance of an opentext documentum enterprise content, management system for a period of three (3) years.",N/A,open,230 Johannes Ramokgoase Street - Pretora - Pretora - 0002,0,ZAR,2021-01-22T11:00:00Z,2020-11-13T00:00:00Z,Mr Mulao Tshifaro,vukani.nxasana@dha.gov.za,012-406-2575,0001-01-01T00:00:00Z,MICROSOFT TEAMS,true,true,244,Home Affairs,, - ,
ocds-9t57fa-100687-2020-07-24T00:00:00Z,compiled,2020-07-24T00:00:00Z,ocds-9t57fa-100687,tender,en-za,306,Kwazulu Natal - Department of Agriculture and Rural Develeopment,100687,DARD13 / 20 A,services,active,Other service activities,KwaZulu-Natal,services,Request for Bid(Open-Tender),Provision of mechanization services,N/A,open,1 CEDARA ROAD - CEDARA - PIETERMARITZBURG - 3200,0,ZAR,2020-08-13T11:00:00Z,2020-07-24T00:00:00Z,Mbuyiselwa Chonco,mbuyiselwa.chonco@kzndard.gov.za,033-343-8188,0001-01-01T00:00:00Z,N/A,false,false,306,Kwazulu Natal - Department of Agriculture and Rural Develeopment,, - ,
ocds-9t57fa-127789-2020-01-05T00:00:00Z,compiled,2020-01-05T00:00:00Z,ocds-9t57fa-127789,tender,en-za,635,Stellenbosch Municipality,127789,DSM 01/26,,active,Services: Professional,Western Cape,consultingServices,Deviation,"Deviation: Relocation of remaining households from Langrug Dam to Erf No 3229, Mooiwater",N/A,direct,Stellenbosch Municipality - Stellenbosch - Stellenbosch - 7600,0,ZAR,2025-07-15T14:00:00Z,2020-01-05T00:00:00Z,Johru Robyn,Johru.Robyn@stellenbosch.gov.za,021-808-8460,0001-01-01T00:00:00Z,N/A,false,false,635,Stellenbosch Municipality,, - ,
ocds-9t57fa-1673-2020-11-16T00:00:00Z,compiled,2020-11-16T00:00:00Z,ocds-9t57fa-1673,tender,en-za,635,Stellenbosch Municipality,1673,BSM 29/21,services,active,Services: General,Western Cape,services,Request for Quotation,"Supply, delivery and off-loading of SABS approved personal protective equipment until 30 June 2022",N/A,open, -  -  - ,0,ZAR,2021-02-11T00:00:00Z,2020-11-16T00:00:00Z,Donray Beerwinkel,Donray.Beerwinkel@stellenbosch.gov.za,021 808 8069,0001-01-01T00:00:00Z,N/A,false,false,635,Stellenbosch Municipality,, - ,
ocds-9t57fa-1966-2020-10-02T00:00:00Z,compiled,2020-10-02T00:00:00Z,ocds-9t57fa-1966,tender,en-za,618,South African National Roads Agency Soc Limited (SANRAL),1966,R.061-070-2020/1,services,active,Services: General,National,services,Request for Proposal,FOR THE UPGRADING OF NATIONAL ROUTE R61SECTION 7 FROM BAZIYA (KM 12) TO MTHATHA AIRPORT (KM 39.39),N/A,open, -  -  - ,0,ZAR,2020-11-20T00:00:00Z,2020-10-02T00:00:00Z,B Siyona,siyonab@nra.co.za,041 398 3200,0001-01-01T00:00:00Z,N/A,false,false,618,South African National Roads Agency Soc Limited (SANRAL),, - ,
ocds-9t57fa-2556-2020-11-23T00:00:00Z,compiled,2020-11-23T00:00:00Z,ocds-9t57fa-2556,tender,en-za,534,Passenger Rail Agency of South Africa,2556,16/2020/CTN/INFRA,services,active,Services: General,National,services,Request for Quotation,"MANUAL SCREENING OF LEVEL CROSSING AT VARIOUS LOCATIONS WITHIN CAPE
METRORAIL REGION
",N/A,open, -  -  - ,0,ZAR,2021-05-06T00:00:00Z,2020-11-23T00:00:00Z,Lindeka Tshuku ,ltshuku@prasa.com,021-449 3087,0001-01-01T00:00:00Z,N/A,false,false,534,Passenger Rail Agency of South Africa,, - ,
ocds-9t57fa-31495-2020-09-23T00:00:00Z,compiled,2020-09-23T00:00:00Z,ocds-9t57fa-31495,tender,en-za,281,Justice & Constitutional Development,31495,RFQ 2020 27,services,active,Services: Functional (Including Cleaning and Security Services),National,services,Request for Quotation,"Appointment of service provider (s) for the Rendering of guarding and Specialised Services at the DOJ&CD, OCJ and NPA for a period of Twelve Months (12) Nationally (FS), (NC)
",N/A,open,329 Pretorius Street Momentum Building  - Pretoria - Pretoria CBD - 0001,0,ZAR,2021-04-01T11:00:00Z,2020-09-23T00:00:00Z,SCM,SCM@justice.gov.za,012-315-1111,2021-04-01T11:00:00Z,329 Pretorius Street Momentum Building Pretoria 0001,true,false,281,Justice & Constitutional Development,, - ,
ocds-9t57fa-44996-2020-08-21T00:00:00Z,compiled,2020-08-21T00:00:00Z,ocds-9t57fa-44996,tender,en-za,345,Limpopo - Agriculture,44996,ACDP 20/14,,active,"Computer programming, consultancy and related activities",Limpopo,consultingServices,Deviation,THE RENEWAL OF SAS LATEST VERSION SOFTWARE LICENCE FOR 36 MONTHS,N/A,direct,67/69 BICCARD STREET - POLOKWANE - POLOKWANE - 0699,0,ZAR,2021-04-01T11:00:00Z,2020-08-21T00:00:00Z,MONONYANE NM,mononyanenm@agric.limpopo.gov.za,015-294-3000,0001-01-01T00:00:00Z,N/A,false,false,345,Limpopo - Agriculture,, - ,
ocds-9t57fa-45037-2020-10-09T00:00:00Z,compiled,2020-10-09T00:00:00Z,ocds-9t57fa-45037,tender,en-za,345,Limpopo - Agriculture,45037,ACDP 19/16,services,active,Food and beverage service activities,Limpopo,services,Request for Bid(Open-Tender),RENDERING OF CATERING SERVICES (LEASING OF KITCHEN AND TUCKSHOP) AT TOMPI SELEKA COLLEGE OF AGRICULTURE FOR A PERIOD OF 3 YEARS,N/A,open,67/69 BICCARD STREET - POLOKWANE - POLOKWANE - 0700,0,ZAR,2021-04-01T11:00:00Z,2020-10-09T00:00:00Z,LECHALABA M,mlechalaba04@gmail.com,013-268-9300,0001-01-01T00:00:00Z,N/A,false,false,345,Limpopo - Agriculture,, - ,
ocds-9t57fa-141129-2020-11-12T00:00:00Z,compiled,2020-11-12T00:00:00Z,ocds-9t57fa-141129,tender,en-za,136,Eastern Cape - Roads and Public Works,141129,SCMU5-20/21-0183,,active,"Other professional, scientific and technical activities",Eastern Cape,consultingServices,Request for Bid(Open-Tender),"PROCUREMENT OF PROFFESSIONAL CIVIL/STRUCTURAL SERVICE FOR REFURBISHMENTS, REPAIRS AND UPGRADES TO WATER AND WASTE WATER TREATMENT WORKS IN JOE GQABI REGION HEALTH FACILITIES",N/A,open,JOE GQABI - JOE GQABI - JOE GQABI - ,0,ZAR,2021-02-05T11:00:00Z,2020-11-12T00:00:00Z, Mr. Sivuyisiwe Gwadiso,sivuyisiwe.gwadiso@ecdpw.gov.za,079-524-8172,0001-01-01T00:00:00Z,N/A,false,false,136,Eastern Cape - Roads and Public Works,, - ,
ocds-9t57fa-149887-2020-08-14T00:00:00Z,compiled,2020-08-14T00:00:00Z,ocds-9t57fa-149887,tender,en-za,135,Eastern Cape - Provincial Treasury,149887,SCMU12-19/20-0008,,complete,"Professional, scientific and technical activities",Eastern Cape,consultingServices,Request for Bid(Open-Tender),Provision of ICT Audits & Automated Vulnerability Risk Assessment for a period of three (3) years for various Eastern Cape Provincial Departments,REFER to Terms of Reference,open,C/o Phalo & Independence Avenue - Bisho Central - Bisho - 5605,0,ZAR,2020-09-07T11:00:00Z,2020-08-14T00:00:00Z,Phumla Ndaleni,Phumla.Ndaleni@ectreasury.gov.za,083-737-8622,0001-01-01T00:00:00Z,N/A,false,false,135,Eastern Cape - Provincial Treasury,, - ,
ocds-9t57fa-152619-2020-07-10T00:00:00Z,compiled,2020-07-10T00:00:00Z,ocds-9t57fa-152619,tender,en-za,332,Labour,152619,LAB03/2020,,complete,"Computer programming, consultancy and related activities",National,consultingServices,Request for Bid(Open-Tender),"CONTACT CENTER SERVICES
",None,open,215 Francis Baard Street - Pretoria Central - Pretoria Central - 0002,0,ZAR,2020-07-31T11:00:00Z,2020-07-10T00:00:00Z,Bella Gelebe,Bella.Gelebe@labour.gov.za,012-309-4084,0001-01-01T00:00:00Z,N/A,true,true,332,Labour,, - ,
ocds-9t57fa-100639-2020-07-16T00:00:00Z,compiled,2020-07-16T00:00:00Z,ocds-9t57fa-100639,tender,en-za,306,Kwazulu Natal - Department of Agriculture and Rural Develeopment,100639,DARD13/20A,services,cancelled,Services: Functional (Including Cleaning and Security Services),KwaZulu-Natal,services,Request for Bid(Open-Tender),Decommissioning of existing system. supply installation and operation and maintenance of cctv camera and access control,N/A,open,1 CEDARA ROAD - CEDARA - PIETERMARITZBURG - 3200,0,ZAR,2020-08-06T11:00:00Z,2020-07-16T00:00:00Z,Mbuyiselwa Chonco,nompumelelo.dladla@kzndard.gov.za,033-343-8188,0001-01-01T00:00:00Z,Cedara Auditorium at 10:00am,true,true,306,Kwazulu Natal - Department of Agriculture and Rural Develeopment,, - ,
ocds-9t57fa-108207-2020-10-23T00:00:00Z,compiled,2020-10-23T00:00:00Z,ocds-9t57fa-108207,tender,en-za,306,Kwazulu Natal - Department of Agriculture and Rural Develeopment,108207,DARD30/20A,services,active,Other service activities,KwaZulu-Natal,services,Request for Bid(Open-Tender),"Appointment of service providers to supply, deliver and offload food security intervention items to various districts",N/A,open,01 Cedara Road - Cedara - Pietermaritzburg - 3201,0,ZAR,2020-11-17T11:00:00Z,2020-10-23T00:00:00Z,Nozizwe Makaula,nozizwe.makaula@kzndard.gov.za,033-355-9109,0001-01-01T00:00:00Z,N/A,false,false,306,Kwazulu Natal - Department of Agriculture and Rural Develeopment,, - ,
ocds-9t57fa-116998-2020-03-17T00:00:00Z,compiled,2020-03-17T00:00:00Z,ocds-9t57fa-116998,tender,en-za,308,"Kwazulu Natal - Economic Development, Tourism and Environ Affairs",116998,TRANSV - 2020031702,,active,"Computer programming, consultancy and related activities",KwaZulu-Natal,consultingServices,Transversal contract,VODACOM SMARTGOV ,N/A,open,270 Jabu ndlovu Street - Pietermaritzburg - Pietermaritzburg - 3201,0,ZAR,2020-03-19T11:00:00Z,2020-03-17T00:00:00Z,Ntombifuthi Shange,ntombifuthi.shange@kznedtea.gov.za,033-264-2663,0001-01-01T00:00:00Z,N/A,false,false,308,"Kwazulu Natal - Economic Development, Tourism and Environ Affairs",, - ,
