id,tag,date,ocid,initiationType,language,buyer_id,buyer_name,tender_id,tender_title,tender_procurementMethodDetails,tender_status,tender_category,tender_province,tender_additionalProcurementCategories,tender_description,tender_mainProcurementCategory,tender_specialConditions,tender_procurementMethod,tender_deliveryLocation,tender_value_amount,tender_value_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_contactPerson_name,tender_contactPerson_email,tender_contactPerson_faxNumber,tender_contactPerson_telephoneNumber,tender_briefingSession_date,tender_briefingSession_venue,tender_briefingSession_isSession,tender_briefingSession_compulsory,tender_procuringEntity_id,tender_procuringEntity_name,planning_rationale,planning_budget_description
ocds-9t57fa-14438-2021-12-31T00:00:00Z,compiled,2021-12-31T00:00:00Z,ocds-9t57fa-14438,tender,en-za,788,Energy and Water Sector Education and Training Authority,14438,EWSETA/RFP/01/2021,Request for Bid(Open-Tender),active,Services: General,Gauteng,services,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO SUPPORT SUPPLY CHAIN MANAGEMENT ON AN ADHOC BASIS ON BID COMMITTEES AND OTHER SUPPORT SERVICES FOR A PERIOD OF THREE YEARS.,services,N/A,open,22 Wellington Road - Parktown - Johannesburg - 2193,0,ZAR,2021-12-31T11:00:00Z,2021-12-31T00:00:00Z,Mpho Maphuti,scmadmin@ewseta.org.za,,011-274-4700,0001-01-01T00:00:00Z,N/A,false,false,788,Energy and Water Sector Education and Training Authority,, - 
ocds-9t57fa-152-2021-04-23T00:00:00Z,compiled,2021-04-23T00:00:00Z,ocds-9t57fa-152,tender,en-za,301,Kwa-Zulu Natal - Agri-Business Development Agency,152,ADAB 04/2021,Request for Proposal,cancelled,Services: General,KwaZulu-Natal,services,Contracting of a Service Provider to undertake Cleaning Services at Agribusiness Development Agency (ADA) for a period of twenty-four (24) months.,services,N/A,open, -  -  - ,0,ZAR,2021-05-18T11:00:00Z,2021-04-23T00:00:00Z,Zuzokuhle Mposula,mposulaz@ada-kzn.co.za,,033 347 8641,2021-04-30T10:00:00Z,N/A,false,false,301,Kwa-Zulu Natal - Agri-Business Development Agency,, - 
ocds-9t57fa-1537-2021-05-26T00:00:00Z,compiled,2021-05-26T00:00:00Z,ocds-9t57fa-1537,tender,en-za,534,Passenger Rail Agency of South Africa,1537,HO/PT/ENG/(E)/181/05/2020,Request for Proposal,cancelled,Services: General,Western Cape,services,REQUEST FOR TENDER: APPOINTMENT OF A CONTRACTOR FOR THE REINSTATEMENT OF CHRIS HANI 3KV DC AND 11KV AC SUBSTATIONS ON THE CENTRAL RAIL CORRIDOR IN WESTERN CAPE,services,N/A,open, -  -  - ,0,ZAR,2021-05-26T00:00:00Z,2021-05-26T00:00:00Z,Agnes Sekhuthe,asekhuthe@prasa.com,,(011) 013 1594,0001-01-01T00:00:00Z,N/A,false,false,534,Passenger Rail Agency of South Africa,, - 
ocds-9t57fa-154-2021-04-23T00:00:00Z,compiled,2021-04-23T00:00:00Z,ocds-9t57fa-154,tender,en-za,633,State Security Agency,154,SSA/01/2021-22,Request for Quotation,complete,Services: General,National,services,APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVERY OF CARTRIDGE TO THE STATE SECURITY AGENCY  (SSA) FOR A PERIOD OF THREE (3) YEARS,services,N/A,open, -  -  - ,0,ZAR,2021-05-14T11:00:00Z,2021-04-23T00:00:00Z,tondiR@ssa.gov.za,Tondani,,012 427 5070,0001-01-01T00:00:00Z,N/A,false,false,633,State Security Agency,, - 
ocds-9t57fa-160-2021-04-23T00:00:00Z,compiled,2021-04-23T00:00:00Z,ocds-9t57fa-160,tender,en-za,153,Electoral Commission (IEC),160,IEC/KZN-01/2021,Request for Quotation,active,Services: General,KwaZulu-Natal,services,Security Services for Kwazulu Natal Provincial Office and Warehouse,services,N/A,open, -  -  - ,0,ZAR,2021-05-07T11:00:00Z,2021-04-23T00:00:00Z,William Ragophala,ragophalam@elections.org.za,,0126225700,0001-01-01T00:00:00Z,N/A,false,false,153,Electoral Commission (IEC),, - 
ocds-9t57fa-161-2021-04-23T00:00:00Z,compiled,2021-04-23T00:00:00Z,ocds-9t57fa-161,tender,en-za,153,Electoral Commission (IEC),161,IEC/GP-01/2021,Request for Quotation,active,Services: General,Gauteng,services,Security Services for Gauteng Provincial Office and Warehouse,services,N/A,open, -  -  - ,0,ZAR,2021-05-07T00:00:00Z,2021-04-23T00:00:00Z,William Ragophala,ragophalam@elections.org.za,,0126225700,0001-01-01T00:00:00Z,N/A,false,false,153,Electoral Commission (IEC),, - 
ocds-9t57fa-2429-2021-06-15T00:00:00Z,compiled,2021-06-15T00:00:00Z,ocds-9t57fa-2429,tender,en-za,534,Passenger Rail Agency of South Africa,2429,10323782,Request for Quotation,complete,Services: General,Western Cape,services,The Supply and delivery of PMP 9mm Handgun Ammunition,services,N/A,open, -  -  - ,0,ZAR,2021-06-25T14:00:00Z,2021-06-15T00:00:00Z,Rosinah Skisazana,rskisazana@metrorail.co.za,,021 449 2095,0001-01-01T00:00:00Z,N/A,false,false,534,Passenger Rail Agency of South Africa,, - 
ocds-9t57fa-2432-2021-06-15T00:00:00Z,compiled,2021-06-15T00:00:00Z,ocds-9t57fa-2432,tender,en-za,534,Passenger Rail Agency of South Africa,2432,10324623,Request for Quotation,complete,Services: General,Western Cape,services,Firearm Training Manual,services,N/A,open, -  -  - ,0,ZAR,2021-06-28T14:00:00Z,2021-06-15T00:00:00Z,Rosinah Skisazana,rskisazana@metrorail.co.za,,021 449 2095,0001-01-01T00:00:00Z,N/A,false,false,534,Passenger Rail Agency of South Africa,, - 
ocds-9t57fa-2438-2021-06-16T00:00:00Z,compiled,2021-06-16T00:00:00Z,ocds-9t57fa-2438,tender,en-za,414,Moqhaka Local Municipality,2438,2/2/4/2020-21,Request for Quotation,complete,Services: General,Free State,services,"Supply, Delivery, Installation Deployment & Printing Services (including print management software) For a Period of Three Years  ",services,N/A,open, -  -  - ,0,ZAR,2021-07-19T12:00:00Z,2021-06-16T00:00:00Z,Mr. Karabo Moroke,karabom@moqhaka.gov.za,,056 216 9205,0001-01-01T00:00:00Z,N/A,false,false,414,Moqhaka Local Municipality,, - 
ocds-9t57fa-2445-2021-06-15T00:00:00Z,compiled,2021-06-15T00:00:00Z,ocds-9t57fa-2445,tender,en-za,251,Independent Communications Authority of South Africa (ICASA),2445,RFQ 13/06/2021,Request for Quotation,complete,Services: General,National,services,"Netbotz system maintenance for a period of 3
years",services,N/A,open, -  -  - ,0,ZAR,2021-06-25T12:00:00Z,2021-06-15T00:00:00Z,Sinenhlanhla Masondo,smasondo@icasa.org.za,,012 568 3014,0001-01-01T00:00:00Z,N/A,false,false,251,Independent Communications Authority of South Africa (ICASA),, - 
ocds-9t57fa-2454-2021-06-15T00:00:00Z,compiled,2021-06-15T00:00:00Z,ocds-9t57fa-2454,tender,en-za,196,Garden Route District Local Municipality,2454,R/25/20-21,Request for Quotation,complete,Services: General,Western Cape,services,Bid description	SUPPLY AND DELIVERY OF VARIOUS  PERSONAL CLOTHING AND FOOTWEAR FOR THE ROADS DEPARTMENT FOR A PERIOD OF THREE YEARS,services,N/A,open, -  -  - ,0,ZAR,2021-07-09T11:00:00Z,2021-06-15T00:00:00Z,NATHAN JURIES,NATHAN@GARDENROUTE.GOV.ZA,,044 803 1310,0001-01-01T00:00:00Z,N/A,false,false,196,Garden Route District Local Municipality,, - 
ocds-9t57fa-24692-2021-04-01T00:00:00Z,compiled,2021-04-01T00:00:00Z,ocds-9t57fa-24692,tender,en-za,24,Banking Sector Education and Training Authority,24692,BS/2020/CON221,Request for Bid(Open-Tender),active,Services: Functional (Including Cleaning and Security Services),National,services,INSTALLATION OF RESTROOM EQUIPMENT’S ,services,N/A,open,"Block C2, 349 Witch-hazel Avenue, Eco Park Estate -  - Centurion - ",0,ZAR,2022-06-30T11:00:00Z,2021-04-01T00:00:00Z,Jackie Kwinika,jackiek@bankseta.org.za,,011-805-9661,0001-01-01T00:00:00Z,N/A,false,false,24,Banking Sector Education and Training Authority,, - 
ocds-9t57fa-2496-2021-03-15T00:00:00Z,compiled,2021-03-15T00:00:00Z,ocds-9t57fa-2496,tender,en-za,668,Transport,2496,SCM/03/2020/COO,Request for Quotation,active,Services: General,National,services,"Appointment of a Service Provider for Maintenance of the Electronic Security System at the Department
of Transport for a period of 15 months",services,N/A,open, -  -  - ,0,ZAR,2021-04-08T12:00:00Z,2021-03-15T00:00:00Z,L Nzimande / L Mugada,NzimandeL@dot.gov.za,,102 309 3255/3035,0001-01-01T00:00:00Z,N/A,false,false,668,Transport,, - 
ocds-9t57fa-2598-2021-03-21T00:00:00Z,compiled,2021-03-21T00:00:00Z,ocds-9t57fa-2598,tender,en-za,167,ESKOM,2598,4600069528,Request for Proposal,active,Services: General,National,services,The supply and installation of automated roller shutter doors at Bellville and Brackenfell,services,N/A,open, -  -  - ,0,ZAR,2021-04-30T00:00:00Z,2021-03-21T00:00:00Z,Nonkonzo Ganjana,GanjanN@eskom.co.za,,021 9803424,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - 
ocds-9t57fa-26314-2021-04-01T00:00:00Z,compiled,2021-04-01T00:00:00Z,ocds-9t57fa-26314,tender,en-za,624,South African Revenue Service,26314,VAR01/2022,Deviation,active,Construction,Gauteng,works,VARIATION FOR THE SERVICES OF A FIRE ENGINEER,works,NONE,direct,LA HAE LA SARS - BROOKLYN - PRETORIA - 0001,0,ZAR,2023-03-31T11:00:00Z,2021-04-01T00:00:00Z,Hema Bhana,hbhana@sars.gov.za,,063-646-4601,0001-01-01T00:00:00Z,N/A,false,false,624,South African Revenue Service,, - 
ocds-9t57fa-30399-2021-04-09T00:00:00Z,compiled,2021-04-09T00:00:00Z,ocds-9t57fa-30399,tender,en-za,335,Langeberg Municipality,30399,TE 06/2021,Request for Proposal,active,Financial and insurance activities,Western Cape,services,SHORT TERM INSURANCE FOR A PERIOD OF THREE YEARS FROM 1 JULY 2021 - 30 JUNE 2024,services,SEE ATTACHED,open,28 MAIN ROAD - ASHTON - ASHTON - 6715,0,ZAR,2021-05-14T12:00:00Z,2021-04-09T00:00:00Z,K MEIRING,kmeiring@langeberg.gov.za,023-626-2426,023-626-8200,0001-01-01T00:00:00Z,N/A,false,false,335,Langeberg Municipality,, - 
ocds-9t57fa-32231-2021-02-01T00:00:00Z,compiled,2021-02-01T00:00:00Z,ocds-9t57fa-32231,tender,en-za,281,Justice & Constitutional Development,32231,DOJCD DEVIATION 03/2020-2021,Deviation,active,Information and communication,National,services,Procurement of SITA services for network connectivity and hosting of IJS Transversal datacenters (production and disaster recovery) for a period of 2 years. ,services,N/A,direct,329 Pretorius Street Momentum Building - Pretoria - Pretoria CBD - 0001,0,ZAR,2021-04-01T11:00:00Z,2021-02-01T00:00:00Z,SCM,SCM@justice.gov.za,,012-315-1111,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - 
ocds-9t57fa-3532-2021-07-09T00:00:00Z,compiled,2021-07-09T00:00:00Z,ocds-9t57fa-3532,tender,en-za,298,Kouga Municipality,3532,144/2021,Request for Proposal,complete,Services: General,Eastern Cape,services,"DISINFECTION FOGGING SERVICES OF BUILDINGS/FACILITIES FOR A PERIOD OF ONE (1) YEAR

",services,N/A,open, -  -  - ,0,ZAR,2021-08-10T12:00:00Z,2021-07-09T00:00:00Z,SCM/ MAALIA ROSSOUW,tenders@kouga.gov.za,,042 200 2200,0001-01-01T00:00:00Z,N/A,false,false,298,Kouga Municipality,, - 
ocds-9t57fa-3534-2021-07-09T00:00:00Z,compiled,2021-07-09T00:00:00Z,ocds-9t57fa-3534,tender,en-za,298,Kouga Municipality,3534,117/2021,Request for Proposal,complete,Services: General,Eastern Cape,services,HANKEY BULK WATER SUPPLY SCHEME- PHASE 3,services,N/A,open, -  -  - ,0,ZAR,2021-07-26T12:00:00Z,2021-07-09T00:00:00Z,SCM/ JACQUES DU TOIT,tenders@kouga.gov.za,,042 200 2200,2021-07-16T11:00:00Z,N/A,true,true,298,Kouga Municipality,, - 
ocds-9t57fa-3549-2021-07-10T00:00:00Z,compiled,2021-07-10T00:00:00Z,ocds-9t57fa-3549,tender,en-za,606,South African Forestry Company Limited,3549,RFQ 205/01/2021,Request for Quotation,complete,Services: General,Mpumalanga,services,FIRE INVESTIGATOR REQUIRED FOR FIRES OCCURING AT SAFCOL PLANTATIONS UNTIL THE END OF FEBRUARY 2022,services,N/A,open, -  -  - ,0,ZAR,2021-07-16T14:00:00Z,2021-07-10T00:00:00Z,Jeanette Satekge,jeanette@safcol.co.za,,013 754 2700 ask for ext 3365,0001-01-01T00:00:00Z,N/A,false,false,606,South African Forestry Company Limited,, - 
ocds-9t57fa-3556-2021-07-09T00:00:00Z,compiled,2021-07-09T00:00:00Z,ocds-9t57fa-3556,tender,en-za,297,Kopanong Local Municipality,3556,KLM/REC: 2021/2022,Request for Proposal,complete,Services: General,Free State,services,Call for proposal of revenue enhancement and debt collection for Kopanong Local Municipality for a period of 12 mothns.,services,N/A,open, -  -  - ,0,ZAR,2021-08-06T14:00:00Z,2021-07-09T00:00:00Z,Mr. T Machuisa,Thepopo.machuisa@hotmail.com,,084 368 5097,0001-01-01T00:00:00Z,N/A,false,false,297,Kopanong Local Municipality,, - 
ocds-9t57fa-3562-2021-07-09T00:00:00Z,compiled,2021-07-09T00:00:00Z,ocds-9t57fa-3562,tender,en-za,297,Kopanong Local Municipality,3562,KLM/PSM: 2021/2022,Request for Proposal,complete,Services: General,Free State,services,"Appointment of a panel of four (4) service provider for supply, branding and delivery of personal protective equipment (PPE), stationery and cleaning material as and when required for a period of 12 months.",services,N/A,open, -  -  - ,0,ZAR,2021-08-06T13:00:00Z,2021-07-09T00:00:00Z,Mr. M Madolo,Marshall.mmm@gmail.com,,078 800 9047,0001-01-01T00:00:00Z,N/A,false,false,297,Kopanong Local Municipality,, - 
ocds-9t57fa-3569-2021-07-09T00:00:00Z,compiled,2021-07-09T00:00:00Z,ocds-9t57fa-3569,tender,en-za,626,SOUTH AFRICAN SPECIAL RISKS INSURANCE ASSOCIATION (Sasria Soc Ltd),3569,2021/07,Request for Proposal,complete,Services: General,Gauteng,services,"To Maintain and Support Microsoft Dynamics 365 Finance & Operations, CRM and Talent.",services,N/A,open, -  -  - ,0,ZAR,2021-07-22T12:00:00Z,2021-07-09T00:00:00Z,Malixole Mbadamana,Malixolem@sasria.co.za,,011 214 0800,0001-01-01T00:00:00Z,N/A,false,false,626,SOUTH AFRICAN SPECIAL RISKS INSURANCE ASSOCIATION (Sasria Soc Ltd),, - 
ocds-9t57fa-3571-2021-07-09T00:00:00Z,compiled,2021-07-09T00:00:00Z,ocds-9t57fa-3571,tender,en-za,566,Road Traffic Infringement Agency,3571,RFQ-07/2021/22,Request for Quotation,complete,Services: General,Gauteng,services,APPOINTMENT OF SERVICE PROVIDER TO PROVIDE HEALTH AND SAFETY EQUIPMENT AND MAINTENANCE OF FIRE EXTINGUISHERS FOR PERIOD OF ONE (1) YEAR.,services,N/A,open, -  -  - ,0,ZAR,2021-07-14T13:00:00Z,2021-07-09T00:00:00Z,Daphney Matlhoko,Daphney.Matlhoko@rtia.co.za,,087 287 0500,0001-01-01T00:00:00Z,N/A,false,false,566,Road Traffic Infringement Agency,, - 
ocds-9t57fa-3575-2021-07-09T00:00:00Z,compiled,2021-07-09T00:00:00Z,ocds-9t57fa-3575,tender,en-za,110,Dr Pixley Ka Isaka Seme Local Municipality,3575,T19/2021,Request for Proposal,complete,Services: General,Mpumalanga,services,Appointment of a service provider for the provision of short term insurance contract,services,None,open,Corner Adelaide Tambo Street & Dr Nelson Mandela Drive  - Volksrust - Volksrust - 2470,0,ZAR,2021-07-26T12:00:00Z,2021-07-09T00:00:00Z,MRS N. KHUZWAYO,mpumek@pixleykaseme.gov.za,,,0001-01-01T00:00:00Z,N/A,false,false,110,Dr Pixley Ka Isaka Seme Local Municipality,, - 
ocds-9t57fa-3591-2021-07-14T00:00:00Z,compiled,2021-07-14T00:00:00Z,ocds-9t57fa-3591,tender,en-za,377,Mangaung Metropolitan Municipality,3591,MMM/BID 574(A): 2020/2021,Request for Quotation,active,Services: General,Free State,services,HIRING OF VEHICLES AND EQUIPMENT ON AS AND WHEN REQUIRED  ,services,N/A,open, -  -  - ,0,ZAR,2021-08-23T11:30:00Z,2021-07-14T00:00:00Z,Siphosethu Zumana Mompati Tlhale,,,051 405 8791/051 405 8099,0001-01-01T00:00:00Z,N/A,false,false,377,Mangaung Metropolitan Municipality,, - 
ocds-9t57fa-3601-2021-07-14T00:00:00Z,compiled,2021-07-14T00:00:00Z,ocds-9t57fa-3601,tender,en-za,635,Stellenbosch Municipality,3601,BSM 56/21,Request for Proposal,complete,Services: General,Western Cape,services,"NEW ADDITIONS AND REPAIRS TO THE EXISTING BUILDING AT THE JAMESTOWN CEMETERY, STELLENBOSCH",services,N/A,open,"Stellenbosch Municipality, James Town Cemetery - Jamestown - Stellenbosch - 7600",0,ZAR,2021-08-16T12:00:00Z,2021-07-14T00:00:00Z,Nazeema Mohamed,Nazeema.Mohamed@stellenbosch.gov.za,,021-808-8235,2021-07-28T10:00:00Z,A Compulsory Clarification Meeting will be held on 28 July 2021 at 10:00 at Jamestown Cemetery,true,true,635,Stellenbosch Municipality,, - 
ocds-9t57fa-510-2021-01-11T00:00:00Z,compiled,2021-01-11T00:00:00Z,ocds-9t57fa-510,tender,en-za,555,Public Works,510,DPWFS (T) 003/2020,Request for Information,active,Services: General,Free State,services,"APPOINTMENT OF A SUITABLY QUALIFIED CONTRACTOR, JOINT VENTURE OR CONSORTIUM FOR CONSTRUCTION WORK OF KATLEGO MPUMELELO SECONDARY SCHOOL AT ZAMDELA EXT 16, SASOLBURG",services,N/A,open, -  -  - ,0,ZAR,2021-01-22T11:00:00Z,2021-01-11T00:00:00Z,Mr. Molebatsi Phasumane,phasumanem@fsworks.gov.za,,051 492 3861,0001-01-01T00:00:00Z,N/A,false,false,555,Public Works,, - 
