id,tag,date,ocid,language,initiationType,buyer_id,buyer_name,tender_id,tender_title,tender_mainProcurementCategory,tender_status,tender_category,tender_province,tender_additionalProcurementCategories,tender_procurementMethodDetails,tender_description,tender_specialConditions,tender_procurementMethod,tender_deliveryLocation,tender_value_amount,tender_value_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_contactPerson_name,tender_contactPerson_email,tender_contactPerson_telephoneNumber,tender_briefingSession_date,tender_briefingSession_venue,tender_briefingSession_isSession,tender_briefingSession_compulsory,tender_procuringEntity_id,tender_procuringEntity_name,planning_rationale,planning_budget_description,tender_contactPerson_faxNumber
ocds-9t57fa-38215-2017-04-18T00:00:00Z,compiled,2017-04-18T00:00:00Z,ocds-9t57fa-38215,en-za,tender,764,Commission for Gender Equality,38215,CGE/T/01/2022/23,,active,Printing and reproduction of recorded media,National,consultingServices,Request for Bid(Open-Tender),"Layout, design, printing and related services",N/A,open,2 Kotze Street - Braamfontein - Johannesburg - 2000,0,ZAR,2022-11-27T11:00:00Z,2017-04-18T00:00:00Z,Shadrack Mafutsa,shadrack@cge.org.za,011-403-7182,0001-01-01T00:00:00Z,N/A,false,false,764,Commission for Gender Equality,, - ,
ocds-9t57fa-40527-2017-05-08T00:00:00Z,compiled,2017-05-08T00:00:00Z,ocds-9t57fa-40527,en-za,tender,266,iSimangaliso Wetland Park,40527,"10, 11, 12, 13, 14, and 16/2022, ",services,active,Services: Functional (Including Cleaning and Security Services),KwaZulu-Natal,services,Request for Bid(Open-Tender),Notice of Award:  Appointment of Three Service Providers for Municipal Greening and Cleaning  and Security Services within iSimangaliso Wetland Park ,N/A,open,R618 - St Lucia - St Lucia - 3936,0,ZAR,2022-12-16T00:00:00Z,2017-05-08T00:00:00Z,Bids Representative,bids@isimangaliso.com,035-590-1633,0001-01-01T00:00:00Z,N/A,false,false,266,iSimangaliso Wetland Park,, - ,
ocds-9t57fa-42552-2017-05-30T00:00:00Z,compiled,2017-05-30T00:00:00Z,ocds-9t57fa-42552,en-za,tender,167,ESKOM,42552,ERIC1040 - Regret Letter,works,complete,"Electricity, gas, steam and air conditioning",Gauteng,works,,Supply and Delivery of Bird Guards/Bird Perching Devices and Clips,None,open,Central Grid - Germiston - Germiston - ,0,ZAR,2022-12-30T11:00:00Z,2017-05-30T00:00:00Z,Nozipho Sibanyoni,sibanyNS@eskom.co.za,011-800-3415,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,086-660-6619
ocds-9t57fa-44146-2017-07-03T00:00:00Z,compiled,2017-07-03T00:00:00Z,ocds-9t57fa-44146,en-za,tender,597,Solplaatje Local Municipality,44146,Q012/2022/2023,services,complete,Education,Northern Cape,services,Request for Quotation,SERVICE PROVIDER FOR ACCREDITED MUNICIPAL  MANAGEMENT PROGRAMME(MFMP) TRAINING,N/A,open,"ABATTOIR ROAD,  - ASHBURNHAM - KIMBERLEY - 8301",0,ZAR,2022-09-09T11:00:00Z,2017-07-03T00:00:00Z,M van ZYL,mvanzyl@solplaatje.org.za,053-830-6320,0001-01-01T00:00:00Z,N/A,true,true,597,Solplaatje Local Municipality,, - ,
ocds-9t57fa-44956-2017-07-16T00:00:00Z,compiled,2017-07-16T00:00:00Z,ocds-9t57fa-44956,en-za,tender,597,Solplaatje Local Municipality,44956,Q027/2022/2023,works,complete,Construction,Northern Cape,works,Request for Quotation,"REPAIR OF BURNT HOUSE AT 569 DAN KANYIES STREET IN RIETVALE.
REPAIR OF BURNT HOUSE AT 24602 SOUL CITY GALESHEWE KIMBERLEY.",N/A,open,Abattoir Road - Ashburnham - Kimberley - 8301,0,ZAR,2022-10-27T11:00:00Z,2017-07-16T00:00:00Z,W MABILO,WMabilo@solplaatje.org.za,053-830-6180,0001-01-01T00:00:00Z,N/A,true,true,597,Solplaatje Local Municipality,, - ,
ocds-9t57fa-47448-2017-08-20T00:00:00Z,compiled,2017-08-20T00:00:00Z,ocds-9t57fa-47448,en-za,tender,281,Justice & Constitutional Development,47448,POQ0000FGG,works,active,Construction of buildings,Gauteng,works,Request for Quotation,Day to day (Kempton Park),N/A,open,17 Monument - Kempton Park - Johannesburg - 1619,0,ZAR,2023-02-18T16:00:00Z,2017-08-20T00:00:00Z,V Kwepile,Vkwepile@justice.gov.za,011-935-6300,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,
ocds-9t57fa-48685-2017-08-29T00:00:00Z,compiled,2017-08-29T00:00:00Z,ocds-9t57fa-48685,en-za,tender,609,South African Human Rights Commission,48685,SAHRC 02-2016,services,active,Rental and leasing activities,National,services,Request for Bid(Open-Tender),Leased properties in Bloemfontein,N/A,open,27 Stiemens street - Braamfontein - Johannesburg - 2017,0,ZAR,2021-04-01T11:00:00Z,2017-08-29T00:00:00Z,Tender office,tenderoffice@sahrc.org.za,011-877-3600,0001-01-01T00:00:00Z,N/A,false,false,609,South African Human Rights Commission,, - ,
ocds-9t57fa-54781-2017-11-08T00:00:00Z,compiled,2017-11-08T00:00:00Z,ocds-9t57fa-54781,en-za,tender,635,Stellenbosch Municipality,54781,DSM 10/23,services,active,Services: Electrical,Western Cape,services,Deviation,Deviation: DSM 10/23: Jan Marais SS Transformer upgrades: Extension of Transformer Storage (Rev 3),N/A,direct,Stellenbosch Municipality - Stellenbosch - Stellenbosch - 7600,0,ZAR,2023-05-20T11:00:00Z,2017-11-08T00:00:00Z,Mark Benson,Mark.benson@stellenbosch.gov.za,021-808-8333,0001-01-01T00:00:00Z,N/A,false,false,635,Stellenbosch Municipality,, - ,
ocds-9t57fa-140212-2017-10-19T00:00:00Z,compiled,2017-10-19T00:00:00Z,ocds-9t57fa-140212,en-za,tender,128,Eastern Cape - Education,140212,SCMU6-17/18-0022,services,active,Food and beverage service activities,Eastern Cape,services,Request for Bid(Open-Tender),Appointment of a service provider for catering services in subsidised hostels of public ordinary schools in the Eastern Cape.,N/A,open,"STEVE TSHWETE COMPLEX  - ZWELITSHA, ZONE6 - KING WILLIAMS TOWN - 5208",0,ZAR,2017-11-06T11:00:00Z,2017-10-19T00:00:00Z,Pakamile Nxozana,pakamile.nxozana@ecdoe.gov.za,040-630-4327,2017-10-27T10:00:00Z,Mandla Makhuphula Leadership Institute,true,true,128,Eastern Cape - Education,, - ,
ocds-9t57fa-40172-2017-05-06T00:00:00Z,compiled,2017-05-06T00:00:00Z,ocds-9t57fa-40172,en-za,tender,593,Small Enterprise Development Agency,40172,Dev-092022,services,active,Information and communication,National,services,Deviation,Deviation - CRM Licenses 1 September 2022 to 31 August 2023,N/A,direct,"The Fields Office Block A, 1066 Burnett Street - Hatfield - Pretoria - ",0,ZAR,2022-08-26T11:00:00Z,2017-05-06T00:00:00Z,Ms F Leeuw,fleeuw@seda.org.za,012-441-1333,0001-01-01T00:00:00Z,N/A,false,false,593,Small Enterprise Development Agency,, - ,
ocds-9t57fa-44064-2017-06-27T00:00:00Z,compiled,2017-06-27T00:00:00Z,ocds-9t57fa-44064,en-za,tender,281,Justice & Constitutional Development,44064,POQ0000D6M,goods,active,Supplies: Computer Equipment,Gauteng,goods,Request for Quotation,Toners and Drums (Benoni),N/A,open,29 Harpur Ave - Benoni 77-Ir - Johannesburg - 1501,0,ZAR,2022-11-04T16:30:00Z,2017-06-27T00:00:00Z,L Phidza,LPhadza@justice.gov.za,011-746-7660,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,
ocds-9t57fa-45238-2017-07-18T00:00:00Z,compiled,2017-07-18T00:00:00Z,ocds-9t57fa-45238,en-za,tender,281,Justice & Constitutional Development,45238,POQ00007P1,goods,active,Manufacture of furniture,Limpopo,goods,Request for Quotation,PROCUREMENT OF OFFICE FURNITURE FOR LIMPOPO REGIONAL OFFICE,N/A,open,92 BOK STREET  - POLOKWANE - POLOKWANE - 0700,0,ZAR,2022-08-19T11:00:00Z,2017-07-18T00:00:00Z,MAPHOTO C,CMaphoto@justice.gov.za,015-297-5530,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,015-297-5587
ocds-9t57fa-47793-2017-09-23T00:00:00Z,compiled,2017-09-23T00:00:00Z,ocds-9t57fa-47793,en-za,tender,597,Solplaatje Local Municipality,47793,Q026/2022/2023,services,complete,Publishing activities,Northern Cape,services,Request for Quotation,APPOINTMENT OF SERVICE PROVIDER FOR PUBLICATION OF VACANT POSITIONS AS AND WHEN REQUIRED,N/A,open,Abattoir Road - Ashburnham - Kimberley - 8301,0,ZAR,2022-11-03T11:00:00Z,2017-09-23T00:00:00Z,TD LANG,DLang@solplaatje.org.za,053-830-6201,0001-01-01T00:00:00Z,N/A,true,true,597,Solplaatje Local Municipality,, - ,
ocds-9t57fa-52945-2017-10-18T00:00:00Z,compiled,2017-10-18T00:00:00Z,ocds-9t57fa-52945,en-za,tender,167,ESKOM,52945,WC1018TP(R),goods,active,Supplies: General,Western Cape,goods,Request for Quotation,Installation of MV cable and complete supply and installation of fibre optic duct cable including and road reinstatement term contract for the Cape Coastal Cluster.,N/A,open,Eskom Holding Soc LTD Megawatt Park  - Midrand  - Johannesburg - 7560,0,ZAR,2023-04-29T11:00:00Z,2017-10-18T00:00:00Z,Thembi Peter,PeterTP@eskom.co.za,021-980-7509,0001-01-01T00:00:00Z,MS Team,true,true,167,ESKOM,, - ,086-723-3520
ocds-9t57fa-57194-2017-12-02T00:00:00Z,compiled,2017-12-02T00:00:00Z,ocds-9t57fa-57194,en-za,tender,597,Solplaatje Local Municipality,57194,Q048/2022/23,goods,complete,Manufacture of electrical equipment,Northern Cape,goods,Request for Quotation,ENGINEERING SUPPLY AND DELIVERY OF TRAFFIC SIGNAL EQUIPMENT BACKING BOARDS BLACK AND WHITE= R255.30 TRAFFIC SUPPLY AND DELIVERY OF TRAFFIC SUPPLY AND  EQUIPMENT PEDESTRIAN SIGNAL MODULE RED MAN= R577.30 ELECTR TRAFFIC SUPPLY AND DELIVERY OF TRAFFIC SIGNAL EQUIPMENT PEDESTRIAN SIGNAL MODULE GREEN MAN WALKING R634.80,N/A,open,Abattoir Road - Ashburnham - Kimberley - ,0,ZAR,2023-05-12T11:00:00Z,2017-12-02T00:00:00Z,FRANCOIS KOEN,fkoen@solplaatje.org.za,053-830-6180,0001-01-01T00:00:00Z,N/A,true,true,597,Solplaatje Local Municipality,, - ,
ocds-9t57fa-153178-2017-11-17T00:00:00Z,compiled,2017-11-17T00:00:00Z,ocds-9t57fa-153178,en-za,tender,244,Home Affairs,153178,RFB1498/2016,services,active,Information service activities,Gauteng,services,SITA contract,"DESIGN, PROVISION, CUSTOMIZATION, INTEGRATION, MIGRATION OF EXISTING DATA, COMMISSIONING, MAINTENANCE AND SUPPORT OF AN INTERGRADED AUTOMATED BIOMETRIC IDENTIFICATION SYSTEM (ABIS) AND BUSINESS FOR THE DEPARTMENT OF HOME AFFAIRS",N/A,selective,Thabo Sehume street and Ramokhoase street - Pretoria central - Pretoria - 0001,0,ZAR,2017-11-24T11:00:00Z,2017-11-17T00:00:00Z,Xola Monakali,Xola.Monakali@dha.gov.za,012-406-7249,0001-01-01T00:00:00Z,N/A,true,true,244,Home Affairs,, - ,
ocds-9t57fa-139210-2017-07-13T00:00:00Z,compiled,2017-07-13T00:00:00Z,ocds-9t57fa-139210,en-za,tender,128,Eastern Cape - Education,139210,SCMU6-17/18-0020 ,services,active,Services: Functional (Including Cleaning and Security Services),Eastern Cape,services,Request for Bid(Open-Tender),Appointment of security companies in 12 Districts and identify sites on request ,N/A,open,"Steve Vukile Complex - Zwelitsha, Zone 6 - Bhisho - 5608",0,ZAR,2017-08-04T11:00:00Z,2017-07-13T00:00:00Z,Pakamile Nxozana,pakamile.nxozana@ecdoe.gov.za,040-608-4656,0001-01-01T00:00:00Z,Mandla Makhuphula  Leadership Institute East London,true,true,128,Eastern Cape - Education,, - ,
ocds-9t57fa-39933-2017-05-03T00:00:00Z,compiled,2017-05-03T00:00:00Z,ocds-9t57fa-39933,en-za,tender,593,Small Enterprise Development Agency,39933,DEV-2022,services,active,Information and communication,National,services,Deviation,Deviation: Wan ad Internet Services,N/A,direct,"The Fields Office Block A, 1066 Burnett Street - Hatfield - Pretoria - 0833",0,ZAR,2022-03-22T16:30:00Z,2017-05-03T00:00:00Z,Ms F Leeuw,fleeuw@seda.org.za,012-441-1333,0001-01-01T00:00:00Z,N/A,false,false,593,Small Enterprise Development Agency,, - ,
ocds-9t57fa-43453-2017-06-05T00:00:00Z,compiled,2017-06-05T00:00:00Z,ocds-9t57fa-43453,en-za,tender,744,"Independent Power Producer Office (IPPO) - part of Department of
Mineral Resources and Energy",43453,DMRE/001/2022/23..,works,complete,"Electricity, gas, steam and air conditioning",National,works,Request for Proposal,LIST OF SUCCESSFUL BIDDERS UNDER BID WINDOW 6 OF THE DEPARTMENT OF MINERAL RESOURCES AND ENERGY'S RENEWABLE ENERGY INDEPENDENT POWER PRODUCERS PROCUREMENT PROGRAMME (REIPPPP) ON 8 DECEMBER 2022,N/A,open,Cnr Olievenhoudbosch Street and Jean Avenue - Centurion - Pretoria - ,0,ZAR,2023-01-16T11:00:00Z,2017-06-05T00:00:00Z,Project Officer,info@ipp-projects.co.za,087-351-3000,0001-01-01T00:00:00Z,N/A,false,false,744,"Independent Power Producer Office (IPPO) - part of Department of
Mineral Resources and Energy",, - ,
ocds-9t57fa-44233-2017-07-10T00:00:00Z,compiled,2017-07-10T00:00:00Z,ocds-9t57fa-44233,en-za,tender,597,Solplaatje Local Municipality,44233,007/2022/2023,works,complete,Construction of buildings,Northern Cape,works,Request for Quotation,"Repairs and maintenance of rental units at 9, 10 and 11.",N/A,open,"ABATTOIR ROAD,  - ASHBURNHAM - KIMBERLEY - 8301",0,ZAR,2022-08-25T11:00:00Z,2017-07-10T00:00:00Z,N van der Merwe,nolan@solplaatje.org.za,053-830-6180,0001-01-01T00:00:00Z,N/A,true,true,597,Solplaatje Local Municipality,, - ,
ocds-9t57fa-45901-2017-07-31T00:00:00Z,compiled,2017-07-31T00:00:00Z,ocds-9t57fa-45901,en-za,tender,281,Justice & Constitutional Development,45901,POQ0000F23.,goods,complete,Supplies: Stationery/Printing,Free State,goods,Request for Quotation,Procurement of 42 printers (Regional Office Free State) - 09/01/2023,Only suppliers from RFB740 ,open,Charlotte Maxeke street - Mangaung - Bloemfontein - 9300,0,ZAR,2022-12-14T14:00:00Z,2017-07-31T00:00:00Z,Benedict Salemane,BSalemane@justice.gov.za,051-407-1878,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,
ocds-9t57fa-47778-2017-08-28T00:00:00Z,compiled,2017-08-28T00:00:00Z,ocds-9t57fa-47778,en-za,tender,611,South African Local Government Association,47778,55281,goods,complete,Supplies: General,National,goods,Request for Quotation,"PURCHASING OF LAPTOPS, LAPTOP BAGS AND 3 YEAR ONSITE WARRANTY",NONE,open,175 Corobay Avenue - Waterkloof Glen Ext 11 - Pretoria - 0001,0,ZAR,2023-02-09T11:00:00Z,2017-08-28T00:00:00Z,John Kola,jkola@salga.org.za,012-369-8000,0001-01-01T00:00:00Z,N/A,false,false,611,South African Local Government Association,, - ,012-369-8001
ocds-9t57fa-50248-2017-09-15T00:00:00Z,compiled,2017-09-15T00:00:00Z,ocds-9t57fa-50248,en-za,tender,281,Justice & Constitutional Development,50248,POQ0000DG3,services,active,Information and communication,KwaZulu-Natal,services,Transversal contract,Supply and delivery of IT EQUIPMENTS  for  Ugu district,nONE,open,Magistrate court Portshepstone  - Portshepstone - Portshepstone  - 4240,0,ZAR,2022-10-13T11:00:00Z,2017-09-15T00:00:00Z,Lungelo Dlongolo,LDlongolo@justice.gov.za,031-372-3037,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,
ocds-9t57fa-56700-2017-11-27T00:00:00Z,compiled,2017-11-27T00:00:00Z,ocds-9t57fa-56700,en-za,tender,597,Solplaatje Local Municipality,56700,Q019/2022/2023 (2),services,complete,Services: Functional (Including Cleaning and Security Services),Northern Cape,services,Request for Quotation,RENDERING GUARDING SECURITY SERVICES AT SOL PLAATJE FRESH PRODUCE MARKET ( MAY2023),N/A,open,Abattoir Road - Ashburnham - Kimberley - 8301,0,ZAR,2023-05-12T11:00:00Z,2017-11-27T00:00:00Z,JEMIMA THAHANE,jtaku@solplaatje.org.za,053-830-6662,0001-01-01T00:00:00Z,N/A,true,true,597,Solplaatje Local Municipality,, - ,
ocds-9t57fa-57492-2017-12-04T00:00:00Z,compiled,2017-12-04T00:00:00Z,ocds-9t57fa-57492,en-za,tender,566,Road Traffic Infringement Agency,57492,RFP06/2022/23/1,,active,Services: Professional,National,consultingServices,Request for Proposal,THE APPOINTMENT OF PROFESSIONAL SERVICES/ CONSULTANTS TO PROVIDE ACTUARIAL SERVICES,N/A,open,Bekker Street - Waterfall Office Park - Midrand - 1685,0,ZAR,2023-04-03T11:00:00Z,2017-12-04T00:00:00Z,Kelebogile Mabel Thipe,kelebogile.thipe@rtia.co.za,087-287-7995,0001-01-01T00:00:00Z,N/A,true,true,566,Road Traffic Infringement Agency,, - ,
