id,tag,date,ocid,initiationType,language,buyer_id,buyer_name,tender_id,tender_title,tender_procurementMethodDetails,tender_status,tender_category,tender_province,tender_additionalProcurementCategories,tender_description,tender_mainProcurementCategory,tender_specialConditions,tender_procurementMethod,tender_deliveryLocation,tender_value_amount,tender_value_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_contactPerson_name,tender_contactPerson_email,tender_contactPerson_telephoneNumber,tender_briefingSession_date,tender_briefingSession_venue,tender_briefingSession_isSession,tender_briefingSession_compulsory,tender_procuringEntity_id,tender_procuringEntity_name,planning_rationale,planning_budget_description,tender_contactPerson_faxNumber
ocds-9t57fa-146933-2018-09-14T00:00:00Z,compiled,2018-09-14T00:00:00Z,ocds-9t57fa-146933,tender,en-za,128,Eastern Cape - Education,146933,SCMU6-18/19-0004,Request for Bid(Open-Tender),active,Food and beverage service activities,Eastern Cape,services,Catering Specification for five additional subsidized public ordinary school hostels for a period starting from 01 November 2018 to 31 July 2021.,services,N/A,open,"Steve Tshwete Complex, zone 6 - Zwelitsha - Bhisho - 5608",0,ZAR,2018-10-15T11:00:00Z,2018-09-14T00:00:00Z,Xolile Ntaphane,xolile.ntaphane@ecdoe.gov.za,040-608-4335,0001-01-01T00:00:00Z,"FORT BEUFORT DISTRICT OFFICE, MT FRERE DISTRICT OFFICE, MTHATHA (TRINSET)",true,true,128,Eastern Cape - Education,, - ,
ocds-9t57fa-125921-2018-11-30T00:00:00Z,compiled,2018-11-30T00:00:00Z,ocds-9t57fa-125921,tender,en-za,128,Eastern Cape - Education,125921,SCMU6-18/19-0006.,Request for Bid(Open-Tender),active,"Travel agency, tour operator, reservation service and related activities",Eastern Cape,"""""",Appointment of travel Management Agents to render facilitation of travel and accommodation services for Eastern Cape Department,,N/A,open,"STEVE TSHWETE COMOPLEX, ZWELITSHA, ZONE 6 - ZWELITSHA - KING WILLAMS TOWN - 5605",0,ZAR,2019-01-22T11:00:00Z,2018-11-30T00:00:00Z,Pakamile Nxozana,pakamile.nxozana@ecdoe.gov.za,040-608-4743,0001-01-01T00:00:00Z,N/A,false,false,128,Eastern Cape - Education,, - ,
ocds-9t57fa-63863-2018-02-10T00:00:00Z,compiled,2018-02-10T00:00:00Z,ocds-9t57fa-63863,tender,en-za,624,South African Revenue Service,63863,3100034239,Request for Quotation,cancelled,Other service activities,Limpopo,services,Servicing of water purifiers and hydroboilers.,services,N/A,open,sars Limpopo office - Limpopo - Limpopo - ,0,ZAR,2023-08-31T11:00:00Z,2018-02-10T00:00:00Z,Hema Bhana,hbhana@sars.gov.za,078-102-8132,0001-01-01T00:00:00Z,N/A,false,false,624,South African Revenue Service,, - ,
ocds-9t57fa-70897-2018-04-16T00:00:00Z,compiled,2018-04-16T00:00:00Z,ocds-9t57fa-70897,tender,en-za,281,Justice & Constitutional Development,70897,POR00008W8,Request for Quotation,complete,Manufacture of textiles,National,goods,CAPS,goods,NONE,open,329 PRETORIUS STREET - PRETORIA - PRETORIA - 0001,0,ZAR,2023-09-27T11:00:00Z,2018-04-16T00:00:00Z,J LEOTWANE ,JLEOTOANE@JUSTICE.GOV.ZA,012-315-1065,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,
ocds-9t57fa-76185-2018-05-29T00:00:00Z,compiled,2018-05-29T00:00:00Z,ocds-9t57fa-76185,tender,en-za,167,ESKOM,76185,MPARN10642GX award,Request for Bid(Open-Tender),complete,Supplies: General,Mpumalanga,goods,the contract award for the  supply and delivery of boiler tubing spares at Arnot Power Station for a period of three (3) years,goods,This is a contract award. only the regret letter is published,open,Arnot Power Station - rietkuil - RIETKUIL - ,0,ZAR,2023-12-31T11:00:00Z,2018-05-29T00:00:00Z,Constance Ndhlovu,ndhlovcr@eskom.co.za,013-297-9684,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
ocds-9t57fa-76192-2018-05-29T00:00:00Z,compiled,2018-05-29T00:00:00Z,ocds-9t57fa-76192,tender,en-za,167,ESKOM,76192,MPARN10704GX award,Request for Bid(Open-Tender),complete,Services: Civil,Mpumalanga,services,"The provision of stormwater reticulation relining
services at Arnot Power Station for a period of 8
Months",services,This is a tender award,open,not applicable - not applicable - not applicable - 1087,0,ZAR,2023-12-31T10:00:00Z,2018-05-29T00:00:00Z,Constance Ndhlovu,ndhlovcr@eskom.co.za,013-297-9684,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
ocds-9t57fa-76205-2018-05-29T00:00:00Z,compiled,2018-05-29T00:00:00Z,ocds-9t57fa-76205,tender,en-za,167,ESKOM,76205,MPARN10621GX award,Request for Bid(Open-Tender),complete,Supplies: Electrical Equipment,Mpumalanga,goods,"contract award for the supply and delivery of electrical cables at Arnot
Power Station on a once off basis",goods,This is a contract award only only regret letter is published.,open,not applicable - Not Applicable - Not Applicable - 1087,0,ZAR,2023-12-31T10:00:00Z,2018-05-29T00:00:00Z,Constance Ndhlovu,ndhlovcr@eskom.co.za,013-297-9684,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
ocds-9t57fa-86348-2018-09-23T00:00:00Z,compiled,2018-09-23T00:00:00Z,ocds-9t57fa-86348,tender,en-za,624,South African Revenue Service,86348, 6000025035,Request for Quotation,active,Services: Building,Northern Cape,services,Day to day maintenance contract for NC offices,services,"Day to day maintenance work only on a as and when required basis.
Procurement has requested various service providers to submit quotations for the day-to-day maintenance work NC (RFX 6000025035) required at in SARS Ancorley building; Nakop border post; Vioolsdrift border post and Station Building Upington. SLA is required for NJ General Works & services for the period 01 April 2024 until 31 May 2025. The duration will be either funds or term (12 months) whichever comes first.
",open,"Scott Street, Ancorley building, - Upington - Northern Cape - 8001",0,ZAR,2024-03-08T11:00:00Z,2018-09-23T00:00:00Z,Eugene Telemachus,etelemachus@sars.gov.za,063-660-5013,2024-03-05T12:00:00Z,Microsoft Teams,true,true,624,South African Revenue Service,, - ,063-660-5013
ocds-9t57fa-91076-2018-11-18T00:00:00Z,compiled,2018-11-18T00:00:00Z,ocds-9t57fa-91076,tender,en-za,281,Justice & Constitutional Development,91076,POS00002D0,Request for Quotation,complete,"Creative, arts and entertainment activities",National,consultingServices,FRAMES,,NONE,open,329 PRETORIUS STREET - PRETORIA - GAUTENG - 0001,0,ZAR,2024-05-20T11:00:00Z,2018-11-18T00:00:00Z,T MOHLALA,TMOHLALA@JUSTICE.GOV.ZA,012-315-1806,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,012-345-1111
ocds-9t57fa-91306-2018-11-18T00:00:00Z,compiled,2018-11-18T00:00:00Z,ocds-9t57fa-91306,tender,en-za,281,Justice & Constitutional Development,91306,POS0000206,Request for Quotation,complete,Supplies: Computer Equipment,National,goods,TONERS AND DRUMS,goods,N/A,open,329 PRETORIUS STREET - PRETORIA - GAUTENG - 0001,0,ZAR,2024-05-10T11:00:00Z,2018-11-18T00:00:00Z,MAGOBOSHANE BOPAPE,MAGBOPAPE@JUSTICE.GOV.ZA,076-524-0648,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,012-345-1111
ocds-9t57fa-92503-2018-12-02T00:00:00Z,compiled,2018-12-02T00:00:00Z,ocds-9t57fa-92503,tender,en-za,663,Tourism,92503,NDT0006/24,Request for Bid(Limited-Tender,active,Services: Professional,Gauteng,consultingServices,Request for expression of interest through a proposal from South African Public Higher Education and Research Institutions to be appointed as part of a panel to conduct research for the Department of Tourism.,,N/A,limited,17 Trevenna Street - Pretoria - Pretoria - 0182,0,ZAR,2024-04-10T11:00:00Z,2018-12-02T00:00:00Z,Merriam Nthani,mnthani@tourism.gov.za,012-444-6230,0001-01-01T00:00:00Z,Microsoft Teams,true,true,663,Tourism,, - ,
ocds-9t57fa-152673-2018-10-26T00:00:00Z,compiled,2018-10-26T00:00:00Z,ocds-9t57fa-152673,tender,en-za,332,Labour,152673,LAB03/2018,Request for Bid(Open-Tender),complete,"Computer programming, consultancy and related activities",National,consultingServices,"IMPLEMENTATION OF S/4 HANA
",,None,open,215 Francis Baard Street - Pretoria Central - Pretoria Central - 0002,0,ZAR,2018-11-14T11:00:00Z,2018-10-26T00:00:00Z,Bella Gelebe,Bella.Gelebe@labour.gov.za,012-309-4084,0001-01-01T00:00:00Z,N/A,false,false,332,Labour,, - ,
ocds-9t57fa-51606-2018-01-31T00:00:00Z,compiled,2018-01-31T00:00:00Z,ocds-9t57fa-51606,tender,en-za,167,ESKOM,51606,MPKOM10613GX,Request for Bid(Open-Tender),complete,Supplies: General,Mpumalanga,goods,Provision of subsidized meals,goods,None,open,Bethal Road - Blinkpan - Middelburg - 0000,0,ZAR,2023-05-09T10:00:00Z,2018-01-31T00:00:00Z,Nhlanhla Mbamba,SibanyNH@eskom.co.za,013-295-9468,2023-04-21T11:00:00Z,Komati Power Station - SSB,true,false,167,ESKOM,, - ,013-295-9468
ocds-9t57fa-60325-2018-01-03T00:00:00Z,compiled,2018-01-03T00:00:00Z,ocds-9t57fa-60325,tender,en-za,167,ESKOM,60325,MWP1667DX-R Regrett,Request for Bid(Open-Tender),complete,Services: Professional,Gauteng,consultingServices,REGRET LETTER FOR THE PROVISION OF MEASUREMENT AND VERIFICATION WITHIN DISTRIBUTION TECHNOLOGY AND ENGINEERING FOR A PERIOD OF THREE YEARS,,N/A,open,Megawatt Park - Sunninghill - Johannesburg - 2000,0,ZAR,2023-03-16T10:00:00Z,2018-01-03T00:00:00Z,Tebogo Buchoane,buchoatt@eskom.co.za,011-800-5010,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,086-538-1161
ocds-9t57fa-60756-2018-01-09T00:00:00Z,compiled,2018-01-09T00:00:00Z,ocds-9t57fa-60756,tender,en-za,281,Justice & Constitutional Development,60756,POR000002T,Request for Quotation,active,Supplies: Computer Equipment,Gauteng,goods,Toners & drums (MC Oberholzer),goods,N/A,open,64 Van Zyl Smit street - Oberholzer - Johannesburg - 2502,0,ZAR,2023-05-11T16:00:00Z,2018-01-09T00:00:00Z,Analien Du Preez,AnaDuPreez@justice.gov.za,084-409-0380,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,
ocds-9t57fa-65552-2018-02-24T00:00:00Z,compiled,2018-02-24T00:00:00Z,ocds-9t57fa-65552,tender,en-za,194,Freedom Park Trust,65552,FP 11/22 PP,Request for Bid(Open-Tender),complete,Advertising and market research,Gauteng,consultingServices,Publication of Bids awarded for panel of Media Buyer services to Freedom Park for a period of 3 years on as and when required.,,N/A,open,"Freedom Park  Cnr Koch & 7 Avenue, - SALVOKOP - PRETORIA - ",0,ZAR,2023-09-20T11:00:00Z,2018-02-24T00:00:00Z,Edward Buthelezi,edward@freedompark.co.za,012-336-4003,0001-01-01T00:00:00Z,N/A,false,false,194,Freedom Park Trust,, - ,
ocds-9t57fa-76187-2018-05-29T00:00:00Z,compiled,2018-05-29T00:00:00Z,ocds-9t57fa-76187,tender,en-za,167,ESKOM,76187,MPARN10619GX award,Request for Bid(Open-Tender),complete,Services: Professional,Mpumalanga,consultingServices,"RBI scope on Boiler, Turbine and Aux Plant at Arnot
Power Station, as and when required for 5 years",,This is an award only regret letter is posted,open,Not applicable - not applicable - not applicable - 1087,0,ZAR,2023-12-31T11:00:00Z,2018-05-29T00:00:00Z,Constance Ndhlovu,ndhlovcr@eskom.co.za,013-297-9684,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
ocds-9t57fa-76198-2018-05-29T00:00:00Z,compiled,2018-05-29T00:00:00Z,ocds-9t57fa-76198,tender,en-za,167,ESKOM,76198,MPARN10567GX award,Request for Bid(Open-Tender),complete,Supplies: General,Mpumalanga,goods,"contract award for the Supply and delivery of H Piping Material at Arnot
Power Station for a period of Three (3) Years",goods,"This is an award, only regret letter is posted",open,Not Applicable - Not Applicable - Not Applicable - 1087,0,ZAR,2023-12-31T11:00:00Z,2018-05-29T00:00:00Z,Constance Ndhlovu,ndhlovcr@eskom.co.za,013-297-9684,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
ocds-9t57fa-76203-2018-05-29T00:00:00Z,compiled,2018-05-29T00:00:00Z,ocds-9t57fa-76203,tender,en-za,167,ESKOM,76203,MPARN10548GX award,Request for Bid(Open-Tender),complete,Services: Electrical,Mpumalanga,services,"Contract award for the provision of Non-Lethal Electric Fence Repair at
Arnot Power Station on a once off basis",services,This is an award. only regret letter is published.,open,not applicable - not applicable - Not Applicable - 1087,0,ZAR,2023-12-31T11:00:00Z,2018-05-29T00:00:00Z,Constance Ndhlovu,ndhlovcr@eskom.co.za,013-297-9684,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
ocds-9t57fa-77764-2018-06-30T00:00:00Z,compiled,2018-06-30T00:00:00Z,ocds-9t57fa-77764,tender,en-za,611,South African Local Government Association,77764,59487,Request for Quotation,cancelled,Other service activities,National,services,"The purpose of this document is to request for proposals (RFP) or quotations for hygiene services, sanitation, and management solutions to ensure that the facilities are maintained in a clean, healthy, and safe pleasing appearance from 08 December 2023 until 30 April 2028 (53 Months).",services,N/A,open,175 Corobay Avenue - Waterkloof Glen - Pretoria - 0181,0,ZAR,2024-01-29T11:00:00Z,2018-06-30T00:00:00Z,Lucky Nkomo,lnkomo@salga.org.za,012-369-8000,0001-01-01T00:00:00Z,N/A,false,false,611,South African Local Government Association,, - ,012-369-8001
ocds-9t57fa-89645-2018-10-30T00:00:00Z,compiled,2018-10-30T00:00:00Z,ocds-9t57fa-89645,tender,en-za,167,ESKOM,89645,MWP2397CX - Regret Letter ,Request for Bid(Open-Tender),complete,Supplies: General,National,goods,REGRET LETTER - ONCE-OFF SUPPLY AND DELIVERY OF 5 X COMPLETE SOLAR FLOODLIGHT SYSTEMS IN ACCORDANCE WITH ESKOM PROCEDURE: 240-126210656 LED STREET LIGHTING FOR MAJUBA UNDERGROUND COAL GASIFICATION SITE.,goods,N/A,open,Lower Germiston Road - Rosherville  - Johhanesburg - 2022,0,ZAR,2024-07-31T10:00:00Z,2018-10-30T00:00:00Z,Pam Nolutshungu,jiyanebp@eskom.co.za,011-629-4239,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
ocds-9t57fa-91303-2018-11-18T00:00:00Z,compiled,2018-11-18T00:00:00Z,ocds-9t57fa-91303,tender,en-za,281,Justice & Constitutional Development,91303,POS00002LF,Request for Quotation,complete,Manufacturing,National,goods,ANATOMICAL DOLLS,goods,N/A,open,329 PRETORIUS STREET - PRETORIA - GAUTENG - 0001,0,ZAR,2024-05-22T11:00:00Z,2018-11-18T00:00:00Z,N PASIWE,nsobantu@justice.gov.za,012-315-1581,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,012-345-1111
ocds-9t57fa-91307-2018-11-18T00:00:00Z,compiled,2018-11-18T00:00:00Z,ocds-9t57fa-91307,tender,en-za,281,Justice & Constitutional Development,91307,POS00002JZ,Request for Quotation,complete,Supplies: Stationery/Printing,National,goods,PRINTING SERVICES,goods,N/A,open,329 PRETORIUS STREET - PRETORIA - GAUTENG - 0001,0,ZAR,2024-05-14T11:00:00Z,2018-11-18T00:00:00Z,R KGOBE,RKGOBE@JUSTICE.GOV.ZA,012-357-8885,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,012-345-1111
ocds-9t57fa-152353-2018-07-20T00:00:00Z,compiled,2018-07-20T00:00:00Z,ocds-9t57fa-152353,tender,en-za,332,Labour,152353,LAB02/2018,Request for Bid(Open-Tender),complete,"Computer programming, consultancy and related activities",National,consultingServices,"SAP SUPPORT,MAINTENANCE & ENHANCEMENT SERVICES AND SUPPLY OF NON-SAP RESOURCES FOR THE DEPARTMENT OF LABOUR FOR THE PERIOD OF THREE (3) YEARS
",,None,open,215 Francis Baard - Pretoria Central - Pretoria - 0002,0,ZAR,2018-08-10T11:00:00Z,2018-07-20T00:00:00Z,Bella Gelebe,bella.galebe@labour.gov.za,012-309-4084,0001-01-01T00:00:00Z,N/A,false,false,332,Labour,, - ,
